Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
166810,1.0410003596916795e-06,4.120000085094944e-06,1.3424978533294052e-06
183073,9.234972822014242e-07,4.006997187389061e-06,1.2039963621646166e-06
200923,1.010001142276451e-06,4.158999217906967e-06,1.1559968697838485e-06
220513,1.102504029404372e-06,4.3050022213719785e-06,1.2990058166906238e-06
242012,1.0019975889008492e-06,4.133500624448061e-06,1.2849995982833207e-06
265608,1.074502506526187e-06,4.076497134519741e-06,1.3404969649855047e-06
291505,1.1080010153818876e-06,4.320998414186761e-06,1.4260040188673884e-06
319926,1.0300027497578412e-06,4.3149993871338665e-06,1.3110002328176051e-06
351119,1.086998963728547e-06,4.394994903123006e-06,1.4140023267827928e-06
385352,1.041498762788251e-06,4.342498868936673e-06,1.3190001482143998e-06
422924,1.0859985195565969e-06,4.480498319026083e-06,1.3400021998677403e-06
464158,1.1964984878432006e-06,4.409499524626881e-06,1.393502316204831e-06
509413,1.1859992810059339e-06,4.302997695049271e-06,1.3989993021823466e-06
559081,1.1209995136596262e-06,4.240002454025671e-06,1.3030003174208105e-06
613590,1.1185002222191542e-06,4.51400046586059e-06,1.3454991858452559e-06
673415,1.1855008779093623e-06,4.448498657438904e-06,1.3485041563399136e-06
739072,1.1060001270379871e-06,4.3215004552621394e-06,1.4569995983038098e-06
811130,1.10599648905918e-06,4.614499630406499e-06,1.3429962564259768e-06
890215,1.1230004020035267e-06,4.699002602137625e-06,1.4694996934849769e-06
977009,1.1060001270379871e-06,5.119498382555321e-06,2.420001692371443e-06
1072267,1.221502316184342e-06,4.486497346078977e-06,1.4850011211819947e-06
1176811,1.1345036909915507e-06,4.721001459984109e-06,1.4165016182232648e-06
1291549,1.2615018931683153e-06,4.87750003230758e-06,1.5330006135627627e-06
1417474,1.174503267975524e-06,4.421999619808048e-06,1.3740027497988194e-06
1555676,1.2780001270584762e-06,4.660996637539938e-06,1.5939986042212695e-06
1707352,1.1515003279782832e-06,4.658497346099466e-06,1.4060024113859981e-06
1873817,1.124000846175477e-06,4.666500899475068e-06,1.4360011846292764e-06
2056512,1.1694974091369659e-06,4.811499820789322e-06,1.4600009308196604e-06
2257019,1.2755008356180042e-06,5.033496563555673e-06,1.5149962564464658e-06
2477076,1.2079981388524175e-06,4.627501766663045e-06,1.6925005184020847e-06
2718588,1.2410018825903535e-06,4.620003892341629e-06,1.6139965737238526e-06
2983647,1.2189957487862557e-06,4.870504199061543e-06,1.6550038708373904e-06
3274549,1.3490025594364852e-06,5.1224997150711715e-06,1.5705008991062641e-06
3593813,1.2470009096432477e-06,5.203000910114497e-06,1.4549987099599093e-06
3944206,1.26950180856511e-06,5.107500328449532e-06,1.4619945432059467e-06
4328761,1.227497705258429e-06,5.034999048803002e-06,1.5590012480970472e-06
4750810,1.3304997992236167e-06,4.891502612736076e-06,1.6384983609896153e-06
5214008,1.3260032574180514e-06,5.009500455344096e-06,1.6435005818493664e-06
5722367,1.3304961612448096e-06,5.394002073444426e-06,1.5549994714092463e-06
6280291,1.357999281026423e-06,5.17350053996779e-06,1.6835001588333398e-06
6892612,1.4189972716849297e-06,5.246001819614321e-06,1.6164995031431317e-06
7564633,1.456497557228431e-06,5.030000465922058e-06,1.6804988263174891e-06
8302175,1.3624994608107954e-06,5.14000203111209e-06,1.6284975572489202e-06
9111627,1.2925047485623509e-06,5.391000740928575e-06,1.6219964891206473e-06
10000000,1.3490025594364852e-06,5.355999746825546e-06,1.66549943969585e-06
