Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
422924,2.100000074278796e-06,1.1599999993450183e-05,7.600000060392631e-06
464158,3.2000000373955118e-06,1.1599999993450183e-05,2.5000000505315256e-06
509413,2.399999971203215e-06,1.1699999959091656e-05,2.4000000848900527e-06
559081,2.049999977771222e-06,1.190000000406144e-05,2.6000000161729986e-06
613590,2.0999999605919584e-06,1.1599999993450183e-05,2.6000000161729986e-06
673415,2.1000000174353772e-06,1.2050000009367068e-05,2.5499999765088432e-06
739072,2.0999999605919584e-06,1.1999999969702912e-05,2.5000000505315256e-06
811130,2.0500000346146408e-06,1.1700000015935075e-05,2.6000000161729986e-06
890215,2.200000039920269e-06,1.1700000015935075e-05,2.5000000505315256e-06
977009,2.1999999262334313e-06,1.2100000049031223e-05,2.5000000505315256e-06
1072267,2.1000000174353772e-06,1.190000000406144e-05,2.6000000161729986e-06
1176811,2.0999999605919584e-06,1.4699999951517384e-05,2.6999999818144715e-06
1291549,2.6999999818144715e-06,2.570000003743189e-05,2.399999971203215e-06
1417474,5.450000060136517e-06,1.2700000070253736e-05,2.6000000161729986e-06
1555676,2.8000000611427822e-06,1.5200000007098424e-05,2.6000000161729986e-06
1707352,2.1500000002561137e-06,1.2399999945955642e-05,2.900000026784255e-06
1873817,2.499999936844688e-06,1.4299999975264654e-05,2.9999998787388904e-06
2056512,2.1999999262334313e-06,1.2799999922208372e-05,2.5000000505315256e-06
2257019,2.1999999262334313e-06,1.2900000001536682e-05,2.499999936844688e-06
2477076,2.100000074278796e-06,1.499999996212864e-05,2.6000000161729986e-06
2718588,2.1999999262334313e-06,1.2900000001536682e-05,2.6000000161729986e-06
2983647,2.1999999262334313e-06,1.2900000001536682e-05,2.599999788799323e-06
3274549,2.1999999262334313e-06,1.3099999932819628e-05,2.6000000161729986e-06
3593813,2.1999999262334313e-06,1.2850000075559365e-05,2.599999788799323e-06
3944206,2.2999997781880666e-06,1.2850000075559365e-05,2.6999996407539584e-06
4328761,2.3000002329354174e-06,1.3200000012147939e-05,2.600000243546674e-06
4750810,2.1999999262334313e-06,1.3200000012147939e-05,2.600000243546674e-06
5214008,2.100000074278796e-06,1.3100000160193304e-05,2.7000000955013093e-06
5722367,2.3499999315390596e-06,1.3199999784774263e-05,2.7000000955013093e-06
6280291,2.249999852210749e-06,1.3100000160193304e-05,2.7999999474559445e-06
6892612,2.4000000848900527e-06,1.359999987471383e-05,2.6999996407539584e-06
7564633,2.2999993234407157e-06,1.340000017080456e-05,2.600000698294025e-06
8302175,2.200000380980782e-06,1.3899999885325087e-05,2.6999996407539584e-06
9111627,2.4000000848900527e-06,1.3899999430577736e-05,2.7000000955013093e-06
10000000,2.3000002329354174e-06,1.3999999282532372e-05,2.7999994927085936e-06
