Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
1707352,1.1980009730905294e-06,4.282499503460713e-06,1.4219995136954822e-06
1873817,1.1799993444583379e-06,4.3455002014525235e-06,1.436499587725848e-06
2056512,1.1329993867548183e-06,4.270001227268949e-06,1.341000825050287e-06
2257019,1.1980000635958277e-06,4.115500814805273e-06,1.3755006875726394e-06
2477076,1.2744994819513522e-06,4.269500095688272e-06,1.4219995136954822e-06
2718588,1.1490001270431094e-06,4.303999958210625e-06,1.4630004443461075e-06
2983647,1.1829997674794868e-06,4.273999365977943e-06,1.4084998838370666e-06
3274549,1.3234994185040705e-06,4.5360011426964775e-06,1.5634986993973143e-06
3593813,1.178000275103841e-06,4.3839991121785715e-06,1.4090001059230417e-06
3944206,1.2145001164753921e-06,4.55250028608134e-06,1.5599998732795939e-06
4328761,1.2990003597224131e-06,4.35599940828979e-06,1.339999471383635e-06
4750810,1.1380006981198676e-06,4.379499841888901e-06,1.4320003174361773e-06
5214008,1.3215003491495736e-06,4.507000085141044e-06,1.5075002011144534e-06
5722367,1.2015007087029517e-06,4.397998964122962e-06,1.4554998415405862e-06
6280291,1.2455002433853224e-06,4.363999323686585e-06,1.4440001905313693e-06
6892612,1.265500031877309e-06,4.5265005610417575e-06,1.5560008250758983e-06
7564633,1.2930004231748171e-06,4.588499905366916e-06,1.401501322106924e-06
8302175,1.2809996405849233e-06,4.716500370705035e-06,1.475999852118548e-06
9111627,1.2334994607954286e-06,4.711500878329389e-06,1.4665001799585298e-06
10000000,1.3385006241151132e-06,4.860500666836742e-06,1.549000444356352e-06
