Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
200923,1.9999999949504854e-06,1.0299999985363684e-05,2.5000000505315256e-06
220513,1.9999999949504854e-06,1.0150000036901474e-05,2.499999936844688e-06
242012,1.9999999949504854e-06,1.00999999403939e-05,2.5000000505315256e-06
265608,2.200000039920269e-06,1.099999997222767e-05,2.6999999818144715e-06
291505,2.200000039920269e-06,1.0949999989406933e-05,2.6999999818144715e-06
319926,2.300000005561742e-06,1.099999997222767e-05,2.7999999474559445e-06
351119,1.9999999949504854e-06,1.0499999973490048e-05,2.6000000161729986e-06
385352,2.200000039920269e-06,1.13999999484804e-05,2.6999999818144715e-06
422924,3.100000071754039e-06,1.669999994646787e-05,4.300000000512227e-06
464158,2.399999971203215e-06,1.2500000025283953e-05,2.999999992425728e-06
509413,2.4000000848900527e-06,1.2699999956566899e-05,2.900000026784255e-06
559081,2.200000039920269e-06,1.1299999982838926e-05,2.8500000439635187e-06
613590,1.9999999949504854e-06,1.0900000006586197e-05,2.649999998993735e-06
673415,2.0999999605919584e-06,1.099999997222767e-05,2.6999999818144715e-06
739072,2.049999977771222e-06,1.1099999937869143e-05,2.750000021478627e-06
811130,3.2000000373955118e-06,1.565000002301531e-05,3.900000024259498e-06
890215,2.4000000848900527e-06,1.2399999945955642e-05,2.9500000096049916e-06
977009,2.1999999262334313e-06,1.13999999484804e-05,2.7999999474559445e-06
1072267,2.0999999605919584e-06,1.1400000005323818e-05,2.6999999818144715e-06
1176811,2.100000074278796e-06,1.099999997222767e-05,2.5000000505315256e-06
1291549,2.499999936844688e-06,1.2499999911597115e-05,3.000000106112566e-06
1417474,2.599999902486161e-06,1.3299999977789412e-05,3.099999958067201e-06
1555676,2.4000000848900527e-06,1.2299999980314169e-05,2.900000026784255e-06
1707352,3.2499999633728294e-06,1.6899999991437653e-05,4.199999921183917e-06
1873817,3.499999820633093e-06,1.6300000083901978e-05,3.8499999845953425e-06
2056512,3.4999999343199306e-06,1.799999995455437e-05,4.500000045482011e-06
2257019,3.5000000480067683e-06,1.8599999975776882e-05,4.400000079840538e-06
2477076,3.4000000823652954e-06,1.740000016070553e-05,4.2000000348707545e-06
